"Identity","SourceFile","QueryUrl","PayloadKey","AssignmentId","EntityId","ItemEntityId","FeatureId","FeatureOptions","Variant","Ct","Priority","CtOverride","StartTime","ExpireTime","RequiresNetwork","RotationPeriod","PropertiesHash","MetadataHash","PayloadHash","PayloadPreview"
"FeatureConfig.json|55823572|PAYLOAD_57294644_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57294644_1","0","FX:136A3F34","","55823572","2","0","3","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","219d63aee327c8c0f24c58db4de90821c969ea7e4889bc236ae0f3e92ef19af0","{""ad"":{""entityId"":""FX:136A3F34"",""items"":[{""featureId"":55823572,""featureOptions"":2,""ct"":3,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
"FeatureConfig.json|48559195|PAYLOAD_57306019_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57306019_1","0","FX:136A6BA3","","48559195","4","0","0","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","3f48c486542f2ca0b845de458569e65d30d0f27f0c6cfd59d97b3d1cd3c904e9","{""ad"":{""entityId"":""FX:136A6BA3"",""items"":[{""featureId"":48559195,""featureOptions"":4,""ct"":0,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
"FeatureConfig.json|48742963|PAYLOAD_57306037_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57306037_1","0","FX:136A6BB5","","48742963","4","0","0","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","6af2dcea6738088d95a98231bd986b54dea0484a9b8361989e1bd93f0d5812ab","{""ad"":{""entityId"":""FX:136A6BB5"",""items"":[{""featureId"":48742963,""featureOptions"":4,""ct"":0,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
"FeatureConfig.json|54756137|PAYLOAD_57368518_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57368518_1","0","FX:136B5FC6","","54756137","2","0","3","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","9771b37cc0cc14a2609fea446575734310d84de539a8e677cc2f80ac2d12200e","{""ad"":{""entityId"":""FX:136B5FC6"",""items"":[{""featureId"":54756137,""featureOptions"":2,""ct"":3,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
"FeatureConfig.json|56500437|PAYLOAD_57386149_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57386149_1","0","FX:136BA4A5","","56500437","2","0","3","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","14af761f12133ab6b60fec97826d67cf7e0ef11669ec3b72d5fc4ab69f030a7e","{""ad"":{""entityId"":""FX:136BA4A5"",""items"":[{""featureId"":56500437,""featureOptions"":2,""ct"":3,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
"FeatureConfig.json|56864294|PAYLOAD_57436245_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57436245_1","0","FX:136C6855","","56864294","2","0","3","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","a83ca995444a132d322e097affd0ee475c3a3c8e7116a12a1843e2a444b04734","{""ad"":{""entityId"":""FX:136C6855"",""items"":[{""featureId"":56864294,""featureOptions"":2,""ct"":3,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
"FeatureConfig.json|56777229|PAYLOAD_57509648_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57509648_1","0","FX:136D8710","","56777229","2","0","0","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","e7e549c8af34a83422e76959403638afcd4d0ae41f70b4a1b5e15473e5bb8772","{""ad"":{""entityId"":""FX:136D8710"",""items"":[{""featureId"":56777229,""featureOptions"":2,""ct"":0,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
"FeatureConfig.json|53086435|PAYLOAD_57524432_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57524432_1","0","FX:136DC0D0","","53086435","18","0","3","","1","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","36ee00a79aa97ecac2412adc9e0cd1cd227ebf0f866f9eae2154fde53fc5eecf","{""ad"":{""entityId"":""FX:136DC0D0"",""items"":[{""featureId"":53086435,""featureOptions"":18,""ct"":3,""variant"":0,""rolloutType"":0,""metadata"":{},""ctOverride"":1}]},""prm"":{""_id"":""0""}}"
"FeatureConfig.json|39541095|PAYLOAD_57526524_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57526524_1","0","FX:136DC8FC","","39541095","2","0","1","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","38cd5577965c1e56a625bf56f67a962e81840b8667b5c845804b6252e8e60e17","{""ad"":{""entityId"":""FX:136DC8FC"",""items"":[{""featureId"":39541095,""featureOptions"":2,""ct"":1,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
"FeatureConfig.json|57159141|PAYLOAD_57637960_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57637960_1","0","FX:136F7C48","","57159141","2","0","3","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","02845683168ac3a95529583f697ae62d735a33942e550b94192b989bd2145904","{""ad"":{""entityId"":""FX:136F7C48"",""items"":[{""featureId"":57159141,""featureOptions"":2,""ct"":3,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
